Author	n (strains)	publication title	journal	publication URL	strains
Hakima Kabbaj et al	3	unknown	unknown	unknown	Morocco/FMP-71/2021,Morocco/FMP-72/2021,Morocco/FMP-75/2021
Shakeel et al	5	unknown	unknown	unknown	Pakistan/JRCGR-KHI06/2020,Pakistan/JRCGR-KHI28/2020,Pakistan/JRCGR-KHI36/2020,Pakistan/JRCGR-KHI37/2020,Pakistan/JRCGR-KHI22/2020
Salman Al-Sabah et al	3	unknown	unknown	unknown	Kuwait/SKS00103-JAH/2020,Kuwait/SKS00111-JAH/2020,Kuwait/SKS00110-JAH/2020
Kathrine Stene-Johansen et al	26	unknown	unknown	unknown	Norway/2889/2020,Norway/6603/2020,Norway/4736/2021,Norway/3755/2020,Norway/3187/2020,Norway/2796/2020,Norway/3252/2021,Norway/5704/2020,Norway/2444/2021,Norway/0919/2021,Norway/2513/2021,Norway/7153/2020,Norway/7092/2020,Norway/6120/2020,Norway/6416/2020,Norway/7179/2021,Norway/5830/2021,Norway/4607/2021,Norway/5355/2021,Norway/6028/2021,Norway/4499/2021,Norway/2716/2021,Norway/7496/2020,Norway/0792/2021,Norway/4764/2020,Norway/2508/2021
Elena Gasich et al	4	unknown	unknown	unknown	Belarus/MN-RRCEM-Sars_Cov_2_sp_7/2021,Belarus/HO-RRCEM-MOZ11874S/2020,Belarus/MI-RRCEM-Sars_Cov_Vis_68/2021,Belarus/HM-RRCEM-Sars_Cov2_sp_1/2021
Victor M Corman et al	19	unknown	unknown	unknown	Belarus/ChVir21840/2020,Belarus/ChVir21835/2020,Kosovo/ChVir23132/2021,Kosovo/ChVir23114/2020,Kosovo/ChVir23117/2020,CzechRepublic/ChVir1630/2020,Ukraine/ChVir23535_23/2021,Germany/SH-ChVir20783/2020,Montenegro/ChVir-1800942002/2020,Montenegro/ChVir23211/2021,Ukraine/ChVir23535_4/2021,Germany/HE-ChVir21698/2020,Ukraine/ChVir23535_77/2021,Ukraine/ChVir23535_79/2021,Ukraine/ChVir23535_100/2020,Ukraine/ChVir23535_17/2021,Kosovo/ChVir23118/2020,Ukraine/ChVir23535_20/2021,Kosovo/ChVir23122/2021
Ivars Silamiķelis et al	6	unknown	unknown	unknown	Latvia/114/2020,Latvia/08/2020,Latvia/038/2020,Latvia/029/2020,Latvia/086/2020,Latvia/035/2020
Alosaimi et al	3	unknown	unknown	unknown	SaudiArabia/610/2020,SaudiArabia/596/2020,SaudiArabia/671/2020
Sukma Oktavianthi et al	1	unknown	unknown	unknown	Indonesia/BT-EIJK259/2021
Payel Mukherjee et al	1	unknown	unknown	unknown	India/TG-CCMB-BB144/2020
Lamuk Zaveri et al B	1	unknown	unknown	unknown	India/MH-NEERI-NGP-25124/2020
Dhiraj Paul et al	2	unknown	unknown	unknown	India/MH-NCCS-172247/2020,India/MH-NCCS-177741/2021
Gilman Kit-Hang Siu et al	11	unknown	unknown	unknown	HongKong/HKPU-05138/2020,HongKong/HKPU-06059/2020,HongKong/HKPU-08377/2020,HongKong/HKPU-06247/2020,HongKong/HKPU-06877/2020,HongKong/HKPU-06131/2020,HongKong/HKPU-06621/2020,HongKong/HKPU-06049/2020,HongKong/HKPU-05000/2020,HongKong/HKPU-01390/2020,HongKong/HKPU-03034/2020
ENatha Mukantwari et al	1	unknown	unknown	unknown	Rwanda/AY29099RD/2021
Ramuth M et al	6	unknown	unknown	unknown	Mauritius/N2031/2021,Mauritius/N2027/2021,Mauritius/N2026/2021,Mauritius/N2024/2021,Mauritius/N2029/2021,Mauritius/N2013/2020
Janvi Raval et al	1	unknown	unknown	unknown	India/GJ-GBRC194b/2020
Abdul Latif Khan et al	1	unknown	unknown	unknown	Oman/24774/2020
Samina Naz Mukry et al	1	unknown	unknown	unknown	Pakistan/NIBD-04-KHI/2020
Chitra Pattabiraman et al	2	unknown	unknown	unknown	India/KA-NIMH-SEQ-75/2021,India/KA-NIMH-SEQ-92/2020
Mouna Ouadghiri et al	11	unknown	unknown	unknown	Morocco/FMP-61/2020,Morocco/FMP-45/2020,Morocco/FMP-43/2020,Morocco/FMP-58/2020,Morocco/FMP-46/2020,Morocco/FMP-49/2020,Morocco/FMP-60/2020,Morocco/FMP-57/2020,Morocco/FMP-41/2020,Morocco/FMP-44/2020,Morocco/FMP-59/2020
Massab Umair et al	10	unknown	unknown	unknown	Pakistan/NIH-63/2020,Pakistan/NIH-59/2021,Pakistan/NIH-58/2021,Pakistan/NIH-60/2020,Pakistan/NIH-45143/2020,Pakistan/MU-NIH-K14/2020,Pakistan/MU-NIH-K53/2020,Pakistan/NIH-54/2021,Pakistan/NIH-52/2021,Pakistan/NIH-56/2021
K Sadeghi et al	1	unknown	unknown	unknown	Iran/Kashmar-15K/2020
Rahul P Salunke et al	2	unknown	unknown	unknown	SaudiArabia/KAUST-JEDDAH875/2020,SaudiArabia/KAUST-MADINAH937/2020
Rijad Konjhodzic et al	2	unknown	unknown	unknown	BosniaandHerzegovina/agc778/2021,BosniaandHerzegovina/Alea-01/2021
Dler et al	1	unknown	unknown	unknown	Iraq/NN_Erbil/2021
Alexiev et al	21	unknown	unknown	unknown	Bulgaria/21BG-EU_000089_Pl1/2020,Bulgaria/21BG-EU_000075_Pl1/2020,Bulgaria/21BG-EU_000090_Pl1/2020,Bulgaria/21BG-EU_378_Pl5/2021,Bulgaria/21BG-EU_000097_Pl2/2021,Bulgaria/21BG-EU_432_Pl5/2021,Bulgaria/21BG-EU_000281_Pl3/2021,Bulgaria/21BG-EU_000411_Pl5/2021,Bulgaria/21BG-EU_454_Pl5/2021,Bulgaria/21BG-EU_000322_Pl4/2021,Bulgaria/21BG-EU_000621_Pl7/2021,Bulgaria/21BG-EU_000849_Pl9/2021,Bulgaria/21BG-EU_000758_Pl8/2021,Bulgaria/21BG-EU_000109_Pl2/2021,Bulgaria/21BG-EU_000786_Pl8/2021,Bulgaria/21BG-EU_515_Pl6/2021,Bulgaria/21BG-EU_000106_Pl2/2021,Bulgaria/21BG-EU_000196_Pl3/2021,Bulgaria/21BG-EU_000048_Pl1/2021,Bulgaria/21BG-EU_000114_Pl2/2021,Bulgaria/21BG-EU_000103_Pl2/2021
Erdem Şahin et al	2	unknown	unknown	unknown	Turkey/15-Ankara-GUMV-49780/2020,Turkey/Ankara_GUMV_37230/2020
Jonas Fuchs et al	2	unknown	unknown	unknown	Germany/BW-FR0564/2020,Germany/BW-FR0443/2020
Md. Murshed Hasan Sarkar et al	2	unknown	unknown	unknown	Bangladesh/BCSIR-NILMRC-502/2020,Bangladesh/BCSIR-NILMRC-435/2021
H. M. Abdullah Al Masud et al	1	unknown	unknown	unknown	Bangladesh/CU-CTG-51/2020
Fatma Bayrakdar et al	17	unknown	unknown	unknown	Turkey/HSGM-1124/2020,Turkey/HSGM-D94/2021,Turkey/HSGM-2856/2021,Turkey/HSGM-3441/2021,Turkey/HSGM-D13/2021,Turkey/HSGM-8300/2021,Turkey/HSGM-14027/2021,Turkey/HSGM-1014/2020,Turkey/HSGM-201606/2020,Turkey/HSGM-2150/2021,Turkey/HSGM-2446/2021,Turkey/HSGM-9040/2021,Turkey/HSGM-2288/2021,Turkey/HSGM-1204/2020,Turkey/HSGM-IST1/2020,Turkey/HSGM-6411/2021,Turkey/HSGM-8957/2021
Kamolthip Atsawawaranunt et al	5	unknown	unknown	unknown	Thailand/Bangkok-CONI-0434/2021,Thailand/Bangkok-CONI-0319/2020,Thailand/SamutSakhon-CONI-0365/2020,Thailand/SamutSakhon-CONI-0408/2020,Thailand/SamutSakhon-CONI-0363/2020
Pilailuk Okada et al	11	unknown	unknown	unknown	Thailand/ChiangRai_NS0001/2020,Thailand/ChiangRai_MW0001/2020,Thailand/ChiangRai_SM/2020,Thailand/Bangkok-14712/2020,Thailand/Chonburi-SQ-TB0062/2020,Thailand/Chonburi-SQ-NT0002/2020,Thailand/Bangkok-14765/2020,Thailand/Bangkok-Ja08/2020,Thailand/Chonburi-SQ-NT0031/2020,Thailand/Chonburi-SQ-NP0073/2020,Thailand/Bangkok_KK/2020
Oo et al	4	unknown	unknown	unknown	Myanmar/DSMRC-009/2021,Myanmar/DSMRC-010/2021,Myanmar/DSMRC-004/2021,Myanmar/DSMRC-002/2021
Elizabeth Batty et al	6	unknown	unknown	unknown	Thailand/SamutSakhon-CONI-0481/2021,Thailand/PathumThani-CONI-0505/2021,Thailand/PathumThani-CONI-0517/2021,Thailand/PathumThani-CONI-0572/2021,Thailand/PathumThani-CONI-0541/2021,Thailand/Bangkok-CONI-0129/2020
Ahmed Kandeil et al	1	unknown	unknown	unknown	Lebanon/LAU-R113/2020
Allison McGeer et al	4	unknown	unknown	unknown	Canada/ON-S2016/2020,Canada/ON-S2380/2021,Canada/ON-S1440/2020,Canada/ON-S1594/2020
Pradip Gyanwali et al	2	unknown	unknown	unknown	Nepal/2178/2020,Nepal/2097/2020
Prystajecky Natalie et al	6	unknown	unknown	unknown	Canada/BC-BCCDC-8721/2020,Canada/BC-BCCDC-9649/2021,Canada/BC-BCCDC-7271/2020,Canada/BC-BCCDC-9734/2021,Canada/BC-BCCDC-4111/2020,Canada/BC-BCCDC-10442/2020
Jonpaul Sze Tsing ZEE et al	1	unknown	unknown	unknown	HongKong/HKSH1003/2020
Lukas Endler et al	31	unknown	unknown	unknown	env/Liechtenstein/CeMM3292/2021,Austria/CeMM1779/2020,Austria/CeMM2742/2021,Austria/CeMM1760/2020,Austria/CeMM1778/2020,Austria/CeMM1770/2020,Austria/CeMM1768/2020,Austria/CeMM1780/2020,env/Austria/CeMM3056/2020,Austria/CeMM3921/2021,Slovakia/CeMM3355/2020,Slovakia/CeMM3370/2020,Slovakia/CeMM3330/2020,Austria/CeMM3252/2020,Austria/CeMM1781/2020,Austria/CeMM3511/2021,Austria/CeMM1761/2020,env/Liechtenstein/CeMM3812/2021,env/Liechtenstein/CeMM3293/2021,env/Liechtenstein/CeMM3811/2021,Austria/CeMM2075/2020,Austria/CeMM1351/2020,Austria/CeMM1769/2020,env/Liechtenstein/CeMM4220/2021,Austria/CeMM4199/2021,env/Austria/CeMM4224/2021,Austria/CeMM4079/2021,Austria/CeMM4195/2021,Austria/CeMM4102/2021,env/Austria/CeMM3830/2021,Austria/CeMM3210/2021
Goletić Š. et al	4	unknown	unknown	unknown	BosniaandHerzegovina/VFS-UNSA-LMGFI017/2021,BosniaandHerzegovina/VFS-UNSA-LMGFI013/2020,BosniaandHerzegovina/VFS-UNSA-LMGFI011/2020,BosniaandHerzegovina/VFS-UNSA-LMGFI020/2021
Danish Covid-19 Genome Consortium et al	13	unknown	unknown	unknown	Denmark/DCGC-14037/2020,Denmark/DCGC-44403/2021,Denmark/DCGC-37000/2021,Denmark/DCGC-15230/2020,Denmark/DCGC-32095/2021,Denmark/DCGC-25409/2020,Denmark/DCGC-14238/2020,Denmark/DCGC-22942/2020,Denmark/DCGC-13756/2020,Denmark/DCGC-18937/2020,Denmark/DCGC-21544/2020,Denmark/DCGC-38461/2021,Denmark/DCGC-40411/2021
Anke Wienecke-Baldacchino et al	24	unknown	unknown	unknown	Luxembourg/LNS5002119/2021,Luxembourg/LNS4737142/2021,Luxembourg/LNS0291630/2020,Luxembourg/LNS3230369/2020,Luxembourg/LNS2139578/2021,Luxembourg/LNS6986313/2021,Luxembourg/LNS5684173/2020,Luxembourg/LNS3050676/2021,Luxembourg/LNS7288917/2021,Luxembourg/LNS9322156/2021,Luxembourg/LNS0000001/2020,Luxembourg/LNS6603271/2020,Luxembourg/LNS2834640/2021,Luxembourg/LNS4227912/2020,Luxembourg/LNS2180340/2020,Luxembourg/LNS9765268/2020,Luxembourg/LNS9338692/2020,Luxembourg/LNS2356584/2021,Luxembourg/LNS5451017/2021,Luxembourg/LNS0861241/2021,Luxembourg/LNS1337331/2021,Luxembourg/LNS8652079/2021,Luxembourg/LNS3960591/2021,Luxembourg/LNS6133647/2020
Anthony LEVASSEUR et al	3	unknown	unknown	unknown	France/PAC-MEPHI-2083/2020,France/PAC-IHUCOVID-2941/2020,France/PAC-IHU-2456/2020
Adelaide Milani et al	2	unknown	unknown	unknown	Italy/VEN-IZSVe-21RS86-4_VE/2020,Italy/VEN-IZSVe-20RS2272-41_PD/2020
Souissi et al	7	unknown	unknown	unknown	Tunisia/38266QC/2021,Tunisia/37994/2021,Tunisia/NC9560/2020,Tunisia/35507/2020,Tunisia/34855/2020,Tunisia/40795/2021,Tunisia/9066/2020
Christian Beisel et al	7	unknown	unknown	unknown	Switzerland/VD-ETHZ-300477/2020,Switzerland/SG-ETHZ-120011/2020,Switzerland/ZH-ETHZ-300236/2020,Switzerland/TG-ETHZ-431167/2020,Switzerland/AG-ETHZ-440184/2021,Switzerland/NE-ETHZ-450341/2021,Switzerland/ZH-ETHZ-260184/2020
Chaoran Chen et al	11	unknown	unknown	unknown	Switzerland/BL-ETHZ-520670/2020,Switzerland/SO-ETHZ-520709/2020,Switzerland/BE-ETHZ-440991/2021,Switzerland/SO-ETHZ-520691/2020,Switzerland/AG-ETHZ-460829/2021,Switzerland/BE-ETHZ-520682/2020,Switzerland/BE-ETHZ-521377/2020,Switzerland/BE-ETHZ-521361/2020,Switzerland/SO-ETHZ-450947/2021,Switzerland/BE-ETHZ-531650/2020,Switzerland/LU-ETHZ-480263/2021
Krista Queen et al	52	unknown	unknown	unknown	USA/NJ-CDC-2-3769255/2020,USA/CT-CDC-2-3912803/2020,USA/WV-CDC-2-3766719/2020,USA/OR-CDC-2-3714464/2020,USA/MI-CDC-2-3768597/2020,USA/NE-CDC-2-3769359/2020,Guam/GU-CDC-2-3847044/2020,Guam/GU-CDC-2-3847115/2020,USA/CT-CDC-2-3773941/2020,USA/VT-CDC-2-3926198/2021,USA/PA-CDC-2-3912703/2021,USA/KS-CDC-2-4014859/2021,USA/CO-CDC-2-3768058/2020,Guam/GU-CDC-2-3906151/2021,USA/WY-CDC-2-3971687/2021,Guam/GU-CDC-2-3847103/2021,USA/DC-CDC-2-3774007/2020,USA/NC-CDC-2-3767474/2020,USA/AK-CDC-2-3920720/2020,USA/ID-CDC-2-3714353/2020,Guam/GU-CDC-2-3847016/2020,Guam/GU-CDC-2-3847047/2020,USA/KS-CDC-2-3911640/2020,Guam/GU-CDC-2-3906196/2021,USA/SC-CDC-2-3971778/2021,USA/ND-CDC-2-3911541/2020,NorthernMarianaIslands/CDC-2-3831121/2020,USA/VT-CDC-2-3767477/2020,Guam/GU-CDC-2-3906099/2021,Guam/GU-CDC-2-3906198/2021,Guam/GU-CDC-2-3906075/2021,USA/PR-CDC-2-3980088/2021,USA/MT-CDC-2-3975868/2021,USA/CO-CDC-2-3768163/2020,Guam/GU-CDC-2-3906182/2021,USA/NV-CDC-2-3773940/2020,USA/VA-CDC-2-3998466/2021,USA/ID-CDC-2-4014286/2021,Guam/GU-CDC-2-3906185/2020,Guam/GU-CDC-2-3847046/2020,USA/MD-CDC-2-3923833/2021,USA/KY-CDC-2-3714587/2020,USA/OK-CDC-2-3768099/2020,Guam/GU-CDC-2-3847014/2021,USA/MS-CDC-2-3714273/2020,USA/IN-CDC-2-3769265/2020,USA/MT-CDC-2-3851609/2021,Guam/GU-CDC-2-3847101/2021,Guam/GU-CDC-2-3906192/2021,USA/CO-CDC-2-3714058/2020,Guam/GU-CDC-2-3847043/2021,USA/VT-CDC-2-3767586/2020
Irma Salimović-Bešić et al	9	unknown	unknown	unknown	BosniaandHerzegovina/KCUS21606/2021,BosniaandHerzegovina/KCUS21066/2021,BosniaandHerzegovina/KCUS21214/2021,BosniaandHerzegovina/KCUS27634/2021,BosniaandHerzegovina/KCUS32934/2021,BosniaandHerzegovina/KCUS32936/2021,BosniaandHerzegovina/KCUS27759/2021,BosniaandHerzegovina/KCUS28523/2021,BosniaandHerzegovina/KCUS1Z-2287/2021
Samo Zakotnik et al	5	unknown	unknown	unknown	Slovenia/119993/2020,Slovenia/2020-V0-273035/2020,Slovenia/2020-V0-273751/2020,Slovenia/2020-V0-272532/2020,Slovenia/V0-25865/2021
Tatiana Sedláčková et al	6	unknown	unknown	unknown	Slovakia/113060304E/2020,Slovakia/UVZ_PL1_C9/2021,Slovakia/10460085/2021,Slovakia/UVZ_PL2_A3/2021,Slovakia/113060284E/2020,Slovakia/113060302E/2020
Bernadett Pályi et al	7	unknown	unknown	unknown	Hungary/6520_14/2020,Hungary/445-22/2020,Hungary/7203_22/2021,Hungary/7205_27/2021,Hungary/7219_5/2021,Hungary/7179_29/2021,Hungary/2214_11/2020
Kristína Boršová et al	3	unknown	unknown	unknown	Slovakia/UKBA-406/2020,Slovakia/UKBA-205/2020,Slovakia/UKBA-203/2020
Helena Jirincova et al	5	unknown	unknown	unknown	CzechRepublic/NRL_2037_21/2021,CzechRepublic/NRL_2040_21/2021,CzechRepublic/NRL_2976_21/2021,CzechRepublic/NRL_2566_21/2021,CzechRepublic/NRL_1271_21/2021
Antonin Bal et al	16	unknown	unknown	unknown	Tahiti/HCL021013306101/2020,France/ARA-114292/2020,Tahiti/HCL021013300701/2020,Tahiti/HCL021013320801/2021,Tahiti/HCL021013314001/2021,Tahiti/HCL021013270901/2020,Tahiti/HCL021013322501/2020,Tahiti/HCL021013275301/2020,Tahiti/HCL021013317501/2020,Tahiti/HCL021013236801/2021,Tahiti/HCL021013242701/2020,France/ARA-11950/2020,Monaco/HCL021015273401/2021,France/ARA-HCL021022885901/2021,France/IDF-HCL021020658701/2021,France/ARA-HCL021030029801/2021
Keith Durkin et al	6	unknown	unknown	unknown	Belgium/ULG-11598/2021,Belgium/ULG-10454/2020,Belgium/ULG-11062/2020,Belgium/ULG-10742/2020,Belgium/ULG-12992/2021,Belgium/ULG-10319/2020
Prof. Dr. Achim Kaasch et al	2	unknown	unknown	unknown	Germany/ST-MD273/2021,Germany/ST-MD520/2021
Christophe Rodriguez et al	3	unknown	unknown	unknown	France/un-HMN-21022150636/2021,France/un-20122280035/2020,France/un-UPEC-20122180312/2020
Marion Barbet et al	11	unknown	unknown	unknown	Guadeloupe/IPP06249/2021,France/Bre-IPP11284/2020,Guadeloupe/IPG-7325/2020,Guadeloupe/IPP06225/2021,Guadeloupe/IPP04491/2021,Guadeloupe/IPP06229/2021,SaintMartin/IPG-7357/2020,Guadeloupe/IPP05357/2021,Guadeloupe/IPP06233/2021,Monaco/IPP04324/2021,France/Bre-IPP11290/2020
Jozef Dingemans* et al	4	unknown	unknown	unknown	Netherlands/LI-MUMC-1101/2021,Netherlands/LI-MUMC-87/2020,Netherlands/LI-MUMC-731/2021,Netherlands/LI-MUMC-161/2020
Goletic S. et al	2	unknown	unknown	unknown	BosniaandHerzegovina/VFS-UNSA-LMGFI029/2021,BosniaandHerzegovina/VFS-UNSA-LMGFI030/2021
Valentin Leducq et al	1	unknown	unknown	unknown	France/IDF_PSL_602/2020
Gunadi et al	1	unknown	unknown	unknown	Indonesia/YO-UGM-124771/2020
Puji Astuti et al	1	unknown	unknown	unknown	Indonesia/KB-TUH-C2139958/2020
Shiou-Hwei Yeh et al	7	unknown	unknown	unknown	Taiwan/NTU47/2020,Taiwan/NTU42/2020,Taiwan/NTU48/2020,Taiwan/NTU51/2021,Taiwan/NTU35/2020,Taiwan/NTU49/2020,Taiwan/NTU44/2020
Juan David Ramírez et al A	1	The arrival and spread of SARS-CoV2 in Colombia	unknown	https://www.medrxiv.org/content/10.1101/2020.06.11.20125799v1	Colombia/BOY-GUR-0209/2020
Katherine Laiton-Donato et al A	43	unknown	unknown	unknown	Colombia/ATL-INS-01/2020,Colombia/SUC-INS-VG-1153/2020,Colombia/ATL-INS-VG-1226/2021,Colombia/DC-INS-VG-397/2021,Colombia/ATL-INS-VG-978/2021,Colombia/BOG-INS-VG-40/2020,Colombia/BOG-INS-VG-33/2020,Colombia/DC-INS-VG-68/2020,Colombia/BOY-INS-VG-60/2020,Colombia/CAL-INS-VG-723/2021,Colombia/COR-INS-VG-1200/2021,Colombia/BOG-INS-VG-42/2020,Colombia/ANT-INS-103573/2020,Colombia/VAC-INS-RI-010/2021,Colombia/VAC-INS-RI-011/2021,Colombia/DC-INS-2553/2020,Colombia/DC-INS-4301/2020,Colombia/DC-INS-3569/2020,Colombia/DC-INS-VG-456/2021,Colombia/DC-INS-3334/2020,Colombia/VAC-INS-VG-101/2020,Colombia/AMA-INS-VG-1242/2021,Colombia/AMA-INS-VG-1195/2021,Colombia/AMA-INS-VG-1251/2021,Colombia/AMA-INS-VG-1110/2021,Colombia/AMA-INS-VG-1249/2021,Colombia/AMA-INS-VG-1166/2021,Colombia/AMA-INS-VG-639/2021,Colombia/AMA-INS-VG-635/2021,Colombia/AMA-INS-VG-1112/2021,Colombia/AMA-INS-VG-1117/2021,Colombia/AMA-INS-VG-632/2021,Colombia/VAC-INS-VG-485/2021,Colombia/VID-INS-VG-627/2021,Colombia/VID-INS-VG-628/2021,Colombia/NSA-INS-VG-108/2020,Colombia/DC-INS-VG-71/2020,Colombia/NAR-INS-IP005/2020,Colombia/NAR-INS-IP004/2020,Colombia/BOY-INS-VG-129/2020,Colombia/BOG-INS-VG-266/2021,Colombia/ARA-INS-VG-518/2021,Colombia/DC-INS-VG-1340/2021
Javier Tognarelli et al	71	unknown	unknown	unknown	Chile/RM-44882/2021,Chile/RM-15750/2021,Chile/LI-24054/2021,Chile/RM-262356/2020,Chile/RM-88024-TC1/2020,Ecuador/EC-G-2107/2020,Chile/RM-230491/2020,Chile/RM-41885/2021,Chile/RM-45924/2021,Chile/RM-230263/2020,Chile/MA-257443/2020,Chile/RM-113/2020,Chile/VS-201675/2020,Chile/AR-7215/2021,Chile/RM-109521/2020,Chile/RM-44765/2020,Chile/RM-168883/2020,Chile/RM-262206/2020,Chile/AR-7223/2021,Chile/AR-32449/2021,Chile/AR-253603/2020,Chile/RM-83540/2020,Chile/RM-112760/2020,Chile/ML-39484/2021,Chile/RM-248788/2020,Chile/BI-253479/2020,Chile/RM-262619/2020,Chile/BI-264973/2020,Chile/RM-260436/2020,Chile/RM-7731/2021,Chile/RM-3452/2021,Chile/BI-265162/2020,Chile/RM-43628/2021,Chile/ML-266537/2020,Chile/RM-42107/2021,Chile/RM-45357/2021,Chile/RM-40973/2021,Chile/RM-46301/2021,Chile/RM-3596/2021,Ecuador/EC-SE-2550/2020,Chile/RM-34061/2021,Chile/RM-1064/2021,Chile/RM-40880/2021,Chile/ML-260119/2020,Chile/ML-39482/2021,Chile/VS-42090/2021,Chile/RM-4401/2021,Ecuador/EC-E-124322/2020,Chile/RM-209/2021,Chile/RM-44921/2021,Chile/RM-251588/2020,Chile/RM-4391/2021,Chile/NB-44809/2021,Chile/RM-45470/2021,Chile/TA-27182/2021,Chile/AN-19054/2021,Chile/RM-48415/2021,Chile/RM-45131/2021,Chile/RM-29773/2021,Chile/RM-6418/2021,Chile/ML-39481/2021,Chile/RM-26396/2021,Chile/RM-36741/2021,Chile/RM-2275/2021,Chile/AR-253595/2020,Chile/RM-157771/2020,Chile/RM-133318/2020,Chile/RM-267671/2020,Chile/RM-263213/2020,Chile/AI-208501/2020,Chile/ML-31898/2021
Peter W. Cook et al	90	unknown	unknown	unknown	USA/CT-CDC-22528152/2021,USA/MO-CDC-21568413/2021,USA/FL-CDC-LC0004982/2021,USA/DC-CDC-LC0000386/2020,USA/WV-CDC-LC0026862/2021,USA/AL-CDC-LC0007043/2021,USA/GA-CDC-STM-000024885/2021,USA/LA-CDC-QDX22763823/2021,USA/WV-CDC-LC0001633/2020,USA/SC-CDC-LC0023034/2021,USA/TN-CDC-LC0002737/2020,USA/VA-CDC-LC0000571/2020,USA/MI-CDC-22313969/2021,USA/MA-CDC-STM-000029607/2021,USA/NJ-CDC-LC0003011/2020,USA/PA-CDC-22445882/2021,USA/AL-CDC-QDX22979556/2021,USA/AL-CDC-QDX22979558/2021,USA/MD-CDC-STM-000024831/2021,USA/TN-CDC-LC0026178/2021,USA/MA-CDC-22634603/2021,USA/NV-CDC-21707473/2021,USA/NC-CDC-STM-000027280/2021,USA/IA-CDC-LC0004752/2020,USA/PA-CDC-LC0009419/2021,USA/MA-CDC-QDX22783202/2021,USA/AL-CDC-LC0015644/2021,USA/KY-CDC-LC0012320/2021,USA/TN-CDC-LC0022881/2021,USA/FL-CDC-LC0000888/2020,USA/FL-CDC-QDX22979763/2021,USA/VT-CDC-22526799/2021,USA/WV-CDC-LC0005452/2021,USA/OK-CDC-LC0014901/2021,USA/KS-CDC-LC0014840/2021,USA/SD-CDC-LC0008663/2021,USA/NM-CDC-QDX22764002/2021,USA/WV-CDC-LC00001621/2020,USA/SC-CDC-LC0020686/2021,USA/TX-CDC-STM-000019118/2021,USA/VT-CDC-LC0019356/2021,USA/ID-CDC-LC0013220/2021,USA/NM-CDC-QDX22906169/2021,USA/NC-CDC-LC0022942/2021,USA/ID-CDC-LC0002481/2020,USA/NH-CDC-QDX22728373/2021,USA/VT-CDC-LC0014347/2021,USA/MS-CDC-LC0001050/2020,USA/AR-CDC-QDX22976801/2021,USA/NC-CDC-LC0011066/2021,USA/SC-CDC-LC0001481/2020,USA/CA-CDC-22168396/2021,USA/AR-CDC-21642174/2021,USA/OK-CDC-LC0023892/2021,USA/TN-CDC-LC0019100/2021,USA/AZ-CDC-STM-000004207/2021,USA/MA-CDC-QDX22719069/2021,USA/OK-CDC-22678574/2021,USA/WV-CDC-LC0026576/2021,USA/TN-CDC-LC0012874/2021,USA/DC-CDC-LC0019877/2021,USA/NE-CDC-LC0000327/2020,USA/MO-CDC-21493355/2021,USA/NH-CDC-LC0000798/2020,USA/SC-CDC-LC0006812/2021,USA/CT-CDC-22258144/2021,USA/CA-CDC-LC0024526/2021,USA/AR-CDC-LC0014677/2021,USA/DC-CDC-LC0026561/2021,USA/SD-CDC-LC0003219/2021,USA/AL-CDC-LC0026584/2021,USA/DC-CDC-LC0027416/2021,USA/PA-CDC-STM-000007406/2021,USA/NC-CDC-STM-000007889/2021,USA/PA-CDC-LC00001401/2020,USA/PR-CDC-LC0025530/2021,USA/NH-CDC-LC00000799/2020,USA/LA-CDC-LC0013550/2021,USA/IA-CDC-22214251/2021,USA/AR-CDC-LC0002890/2020,USA/NE-CDC-LC0000092/2020,USA/DC-CDC-LC0017516/2021,USA/PR-CDC-LC0023769/2021,USA/TN-CDC-LC0021534/2021,USA/NH-CDC-21490945/2021,USA/KS-CDC-LC0008593/2021,USA/NM-CDC-LC0016314/2021,USA/VI-CDC-STM-000005664/2021,USA/MA-CDC-STM-000030126/2021,USA/FL-CDC-22062012/2021
Luisa Sacristán et al	1	unknown	unknown	unknown	Colombia/DC-UANDES-SDS10/2021
Alberto Paniz-Mondolfi et al	2	unknown	unknown	unknown	Venezuela/VEN-95072/2020,Venezuela/VEN-89312/2020
Pavitra Roychoudhury et al	6	unknown	unknown	unknown	Colombia/DC-UW-651262577201/2020,USA/WA-UW-62780/2021,USA/WA-UW-62362/2021,Colombia/DC-UW-651259030101/2020,USA/WA-UW-58986/2021,Colombia/SAN-UW-651275441501/2020
Nikita S. D. Sahadeo et al	13	unknown	unknown	unknown	Trinidad/TT9467/2020,Trinidad/TT1327/2020,Trinidad/TT7923/2020,Trinidad/TT3347/2020,Trinidad/TT6851/2020,Trinidad/TT44048/2020,Trinidad/TT44092/2020,SaintLucia/LCA47897/2020,Barbados/50397/2020,SaintLucia/LCA47987/2020,Jamaica/JAM47542/2020,Barbados/BRB50403/2021,SaintLucia/LCA47894/2020
Raeece Naeem et al	1	unknown	unknown	unknown	SaudiArabia/KAUST-MADINAH967/2020
Ilker Karacan et al	1	unknown	unknown	unknown	Turkey/IST-GLAB-N010/2020
Rima R Prasetya et al	1	unknown	unknown	unknown	Indonesia/JI-ITD-17398NT/2020
Ade Andriani et al	1	unknown	unknown	unknown	Indonesia/BT-TNG-LIPI017/2020
